group,dev,s,row_idx,col_idx,time_ms,minors_tested,matrix,is_principal,prime
28,3,26,"3,10,20,26,27","6,12,21,26,27",19489.5,228436650.0,kernel_28_97.txt,False,268435399
28,3,0,"0,1,3,5,7","0,1,5,6,10",508.929,5990400.0,kernel_28_98.txt,False,268435399
28,3,23,"17,20,22,23,24","4,12,13,23,24",17166.1089,202769775.0,kernel_28_99.txt,False,268435399
28,3,2,"2,3,17,23,27","2,3,7,9,19",1945.708,23101650.0,,False,268435399
28,4,1,"1,2,3,7,12,17","1,2,6,9,26,27",79764.8772,595541700.0,kernel_28_10.txt,False,268435399
28,4,0,"0,1,4,14,19,24","0,1,6,15,16,18",38757.3489,287539200.0,kernel_28_100.txt,False,268435399
28,4,0,"0,1,11,13,21,28","0,1,7,9,14,22",38769.9851,287539200.0,kernel_28_11.txt,False,268435399
28,4,0,"0,1,6,7,23,28","0,1,3,17,22,27",38004.6831,287539200.0,kernel_28_12.txt,False,268435399
28,4,0,"0,1,4,11,24,25","0,1,4,13,24,25",38497.4231,287539200.0,kernel_28_13.txt,False,268435399
28,4,0,"0,1,2,14,16,20","0,1,7,18,22,23",38331.5991,287539200.0,kernel_28_14.txt,False,268435399
28,4,0,"0,1,4,6,15,24","0,1,2,4,7,19",38443.4192,287539200.0,kernel_28_15.txt,False,268435399
28,4,0,"0,1,5,7,12,14","0,1,4,6,11,25",38368.5132,287539200.0,kernel_28_16.txt,False,268435399
28,4,0,"0,1,5,10,11,17","0,1,2,3,9,12",38104.9519,287539200.0,kernel_28_17.txt,False,268435399
28,4,0,"0,1,7,8,9,16","0,1,16,20,24,28",41693.0232,308002500.0,kernel_28_18.txt,False,268435399
28,4,1,"1,2,5,8,18,24","1,2,3,5,9,10",79648.05,595541700.0,kernel_28_19.txt,False,268435399
28,4,0,"0,1,11,17,23,26","0,1,2,6,10,28",38264.0068,287539200.0,kernel_28_2.txt,False,268435399
28,4,0,"0,1,2,7,18,21","0,1,6,16,20,28",38118.1338,287539200.0,kernel_28_20.txt,False,268435399
28,4,1,"0,1,2,23,26,28","1,2,8,18,21,26",79280.7219,595541700.0,kernel_28_21.txt,False,268435399
28,4,2,"2,3,7,23,24,28","2,3,6,22,25,26",120651.188,903544200.0,kernel_28_22.txt,False,268435399
28,4,0,"0,1,3,4,23,24","0,1,12,15,17,20",38516.2749,287539200.0,kernel_28_23.txt,False,268435399
28,4,0,"0,1,12,16,20,23","0,1,5,8,17,18",38119.3091,287539200.0,kernel_28_24.txt,False,268435399
28,4,0,"0,1,7,13,17,28","0,1,4,8,14,18",38883.606,287539200.0,kernel_28_25.txt,False,268435399
28,4,0,"0,1,2,6,17,18","0,1,9,13,15,25",38261.634,287539200.0,kernel_28_26.txt,False,268435399
