group,dev,s,row_idx,col_idx,time_ms,minors_tested,matrix,is_principal,prime
30,3,22,"3,12,20,22,23","9,14,19,22,23",25738.96,307089468.0,kernel_30_12.txt,False,1073741789
30,3,23,"4,12,19,23,24","20,23,24,28,30",26846.075,320441184.0,kernel_30_13.txt,False,1073741789
30,3,8,"6,8,9,14,22","2,8,9,11,16",9535.9299,114297120.0,kernel_30_14.txt,False,1073741789
30,3,12,"0,10,12,13,27","0,1,12,13,26",13979.814,167703984.0,kernel_30_16.txt,False,1073741789
30,3,16,"11,16,17,18,30","0,6,16,17,19",18488.509,221110848.0,kernel_30_19.txt,False,1073741789
30,3,21,"10,14,17,21,22","15,20,21,22,29",24614.771,293737752.0,kernel_30_20.txt,False,1073741789
30,3,22,"2,7,15,22,23","14,20,22,23,29",25723.3079,307089468.0,kernel_30_23.txt,False,1073741789
30,3,10,"10,11,14,15,27","3,8,10,11,16",11748.637,141000552.0,kernel_30_36.txt,False,1073741789
30,3,21,"0,11,17,21,22","10,11,20,21,22",24604.3608,293737752.0,kernel_30_37.txt,False,1073741789
30,3,22,"1,4,22,23,27","4,9,20,22,23",25247.2351,301221144.0,kernel_30_4.txt,False,1073741789
30,3,21,"2,4,5,21,22","14,21,22,24,27",24644.8311,293737752.0,kernel_30_40.txt,False,1073741789
30,3,16,"4,16,17,23,28","1,4,7,16,17",18471.511,221110848.0,kernel_30_42.txt,False,1073741789
30,3,7,"7,8,10,11,17","7,8,12,17,30",8882.395,106813728.0,kernel_30_58.txt,False,1073741789
30,3,9,"6,9,10,13,18","9,10,13,25,27",11099.071,133517160.0,kernel_30_6.txt,False,1073741789
30,3,1,"1,2,5,8,25","0,1,2,25,26",1736.5129,20835108.0,kernel_30_64.txt,False,1073741789
30,3,4,"4,5,11,13,26","4,5,7,18,20",5044.72,60890256.0,kernel_30_65.txt,False,1073741789
30,3,23,"2,11,21,23,24","10,11,14,23,24",26854.52,320441184.0,kernel_30_68.txt,False,1073741789
30,3,26,"6,15,24,26,27","4,5,10,26,27",29774.3369,354628008.0,kernel_30_69.txt,False,1073741789
30,3,10,"10,11,14,19,22","7,10,11,15,25",12274.0469,146868876.0,kernel_30_75.txt,False,1073741789
30,3,19,"2,9,19,20,28","14,18,19,20,23",22294.7161,267034320.0,kernel_30_76.txt,False,1073741789
30,3,11,"0,11,12,19,26","1,6,11,12,15",12878.468,154352268.0,kernel_30_80.txt,False,1073741789
30,3,6,"2,4,6,7,27","6,7,10,15,18",7783.834,93462012.0,kernel_30_82.txt,False,1073741789
30,3,14,"4,14,15,23,27","7,9,14,15,21",16697.4531,200275740.0,kernel_30_83.txt,False,1073741789
30,3,24,"2,8,13,24,25","16,19,24,25,30",27996.072,333792900.0,kernel_30_85.txt,False,1073741789
30,3,24,"3,15,24,25,26","1,4,20,24,25",27555.502,327924576.0,kernel_30_86.txt,False,1073741789
30,3,3,"3,4,7,20,30","2,3,4,12,23",3935.156,47538540.0,kernel_30_96.txt,False,1073741789
30,3,26,"0,2,25,26,27","8,10,24,26,27",30312.8801,360496332.0,kernel_30_97.txt,False,1073741789
30,3,10,"4,8,10,11,25","1,10,11,19,21",11763.446,141000552.0,,False,1073741789
30,4,1,"1,2,6,7,11,14","1,2,3,11,18,22",126864.01,953246385.0,kernel_30_10.txt,False,1073741789
30,4,3,"3,4,13,20,25,30","1,3,4,5,14,19",276769.1001,2081466387.0,kernel_30_100.txt,False,1073741789
30,4,0,"0,1,10,13,27,28","0,1,19,23,26,30",75416.418,564110001.0,kernel_30_11.txt,False,1073741789
30,4,0,"0,1,2,12,14,18","0,1,5,12,23,27",51640.0979,389136384.0,kernel_30_12.txt,False,1073741789
30,4,1,"1,2,12,20,21,30","0,1,2,8,11,23",126663.739,953246385.0,kernel_30_13.txt,False,1073741789
30,4,0,"0,1,4,11,13,19","0,1,12,14,25,27",75257.448,564110001.0,kernel_30_14.txt,False,1073741789
30,4,0,"0,1,4,11,13,20","0,1,3,6,8,24",51644.5779,389136384.0,kernel_30_15.txt,False,1073741789
30,4,2,"2,3,8,12,18,30","2,3,5,8,9,10",203827.281,1517356386.0,kernel_30_16.txt,False,1073741789
