Processing 3x3 minors...
Matrix size: 9x9
Total minors: 7056
Rows: 0 1 3 | Cols: 0 4 5 | Det: -304458
Rows: 0 1 3 | Cols: 0 4 6 | Det: 118139
Rows: 0 1 3 | Cols: 0 4 7 | Det: 45885
Rows: 0 1 3 | Cols: 0 4 8 | Det: 199738
Rows: 0 1 3 | Cols: 0 5 6 | Det: -268077
Rows: 0 1 3 | Cols: 0 5 7 | Det: -72033
Rows: 0 1 3 | Cols: 0 5 8 | Det: -194040
Rows: 0 1 3 | Cols: 0 6 7 | Det: -12451
Rows: 0 1 3 | Cols: 0 6 8 | Det: -100577
Rows: 0 1 3 | Cols: 0 7 8 | Det: -18013
Rows: 0 1 3 | Cols: 1 2 3 | Det: -241536
Rows: 0 1 3 | Cols: 1 2 4 | Det: -299262
Rows: 0 1 3 | Cols: 1 2 5 | Det: -199710
Rows: 0 1 3 | Cols: 1 2 6 | Det: -113640
Rows: 0 1 3 | Cols: 1 2 7 | Det: -209778
Rows: 0 1 3 | Cols: 1 2 8 | Det: -205170
Rows: 0 1 3 | Cols: 1 3 4 | Det: -232235
Rows: 0 1 3 | Cols: 1 3 5 | Det: 149381
Rows: 0 1 3 | Cols: 1 3 6 | Det: 320956
Rows: 0 1 3 | Cols: 1 3 7 | Det: 151635
Rows: 0 1 3 | Cols: 1 3 8 | Det: 252179
Rows: 0 1 3 | Cols: 1 4 5 | Det: 377102
Rows: 0 1 3 | Cols: 1 4 6 | Det: 506927
Rows: 0 1 3 | Cols: 1 4 7 | Det: 389575
Rows: 0 1 3 | Cols: 1 4 8 | Det: 509718
Rows: 0 1 3 | Cols: 1 5 6 | Det: 195095
Rows: 0 1 3 | Cols: 1 5 7 | Det: -4363
Rows: 0 1 3 | Cols: 1 5 8 | Det: 81620
Rows: 0 1 3 | Cols: 1 6 7 | Det: -207413
Rows: 0 1 3 | Cols: 1 6 8 | Det: -153985
Rows: 0 1 3 | Cols: 1 7 8 | Det: 90217
Rows: 0 1 3 | Cols: 2 3 4 | Det: 160214
Rows: 0 1 3 | Cols: 2 3 5 | Det: -6794
Rows: 0 1 3 | Cols: 2 3 6 | Det: 182024
Rows: 0 1 3 | Cols: 2 3 7 | Det: 182106
Rows: 0 1 3 | Cols: 2 3 8 | Det: 273754
Rows: 0 1 3 | Cols: 2 4 5 | Det: -140888
Rows: 0 1 3 | Cols: 2 4 6 | Det: 150148
Rows: 0 1 3 | Cols: 2 4 7 | Det: 86480
Rows: 0 1 3 | Cols: 2 4 8 | Det: 203088
Rows: 0 1 3 | Cols: 2 5 6 | Det: 153700
Rows: 0 1 3 | Cols: 2 5 7 | Det: 156472
Rows: 0 1 3 | Cols: 2 5 8 | Det: 232120
Rows: 0 1 3 | Cols: 2 6 7 | Det: -72412
Rows: 0 1 3 | Cols: 2 6 8 | Det: -25820
Rows: 0 1 3 | Cols: 2 7 8 | Det: 83072
Rows: 0 1 3 | Cols: 3 4 5 | Det: 92554
Rows: 0 1 3 | Cols: 3 4 6 | Det: 387909
Rows: 0 1 3 | Cols: 3 4 7 | Det: 275675
Rows: 0 1 3 | Cols: 3 4 8 | Det: 430486
Rows: 0 1 3 | Cols: 3 5 6 | Det: -121603
Rows: 0 1 3 | Cols: 3 5 7 | Det: -116891
Rows: 0 1 3 | Cols: 3 5 8 | Det: -176400
Rows: 0 1 3 | Cols: 3 6 7 | Det: -127711
Rows: 0 1 3 | Cols: 3 6 8 | Det: -173723
Rows: 0 1 3 | Cols: 3 7 8 | Det: 18269
Rows: 0 1 3 | Cols: 4 5 6 | Det: -427856
Rows: 0 1 3 | Cols: 4 5 7 | Det: -292380
Rows: 0 1 3 | Cols: 4 5 8 | Det: -495880
Rows: 0 1 3 | Cols: 4 6 7 | Det: 48970
Rows: 0 1 3 | Cols: 4 6 8 | Det: -88276
Rows: 0 1 3 | Cols: 4 7 8 | Det: -117080
Rows: 0 1 3 | Cols: 5 6 7 | Det: -156214
Rows: 0 1 3 | Cols: 5 6 8 | Det: -163940
Rows: 0 1 3 | Cols: 5 7 8 | Det: 69020
Rows: 0 1 3 | Cols: 6 7 8 | Det: 50994
Rows: 0 1 4 | Cols: 0 1 2 | Det: 285768
Rows: 0 1 4 | Cols: 0 1 3 | Det: 301931
Rows: 0 1 4 | Cols: 0 1 4 | Det: 171503
Rows: 0 1 4 | Cols: 0 1 5 | Det: -12669
Rows: 0 1 4 | Cols: 0 1 6 | Det: 257089
Rows: 0 1 4 | Cols: 0 1 7 | Det: 134872
Rows: 0 1 4 | Cols: 0 1 8 | Det: 416659
Rows: 0 1 4 | Cols: 0 2 3 | Det: -241493
Rows: 0 1 4 | Cols: 0 2 4 | Det: -116681
Rows: 0 1 4 | Cols: 0 2 5 | Det: -164973
Rows: 0 1 4 | Cols: 0 2 6 | Det: 127505
Rows: 0 1 4 | Cols: 0 2 7 | Det: 35576
Rows: 0 1 4 | Cols: 0 2 8 | Det: 132203
Rows: 0 1 4 | Cols: 0 3 4 | Det: 21651
Rows: 0 1 4 | Cols: 0 3 5 | Det: -185010
Rows: 0 1 4 | Cols: 0 3 6 | Det: 351974
Rows: 0 1 4 | Cols: 0 3 7 | Det: 151564
Rows: 0 1 4 | Cols: 0 3 8 | Det: 491785
Rows: 0 1 4 | Cols: 0 4 5 | Det: -104181
Rows: 0 1 4 | Cols: 0 4 6 | Det: 181493
Rows: 0 1 4 | Cols: 0 4 7 | Det: 76420
Rows: 0 1 4 | Cols: 0 4 8 | Det: 249466
Rows: 0 1 4 | Cols: 0 5 6 | Det: 142764
Rows: 0 1 4 | Cols: 0 5 7 | Det: 76284
Rows: 0 1 4 | Cols: 0 5 8 | Det: 234675
Rows: 0 1 4 | Cols: 0 6 7 | Det: -28172
Rows: 0 1 4 | Cols: 0 6 8 | Det: -66971
Rows: 0 1 4 | Cols: 0 7 8 | Det: 10524
Rows: 0 1 4 | Cols: 1 2 3 | Det: -48888
Rows: 0 1 4 | Cols: 1 2 4 | Det: -106560
Rows: 0 1 4 | Cols: 1 2 5 | Det: 239328
Rows: 0 1 4 | Cols: 1 2 6 | Det: 145656
Rows: 0 1 4 | Cols: 1 2 7 | Det: 153000
Rows: 0 1 4 | Cols: 1 2 8 | Det: 46512
Rows: 0 1 4 | Cols: 1 3 4 | Det: -83247
Rows: 0 1 4 | Cols: 1 3 5 | Det: 250697
Rows: 0 1 4 | Cols: 1 3 6 | Det: 197876
Rows: 0 1 4 | Cols: 1 3 7 | Det: 184727
Rows: 0 1 4 | Cols: 1 3 8 | Det: 120423
Rows: 0 1 4 | Cols: 1 4 5 | Det: 138908
Rows: 0 1 4 | Cols: 1 4 6 | Det: 183281
Rows: 0 1 4 | Cols: 1 4 7 | Det: 142115
Rows: 0 1 4 | Cols: 1 4 8 | Det: 183282
Rows: 0 1 4 | Cols: 1 5 6 | Det: -221767
Rows: 0 1 4 | Cols: 1 5 7 | Det: -119737
Rows: 0 1 4 | Cols: 1 5 8 | Det: -351010
Rows: 0 1 4 | Cols: 1 6 7 | Det: 68901
Rows: 0 1 4 | Cols: 1 6 8 | Det: -170527
Rows: 0 1 4 | Cols: 1 7 8 | Det: -201127
Rows: 0 1 4 | Cols: 2 3 4 | Det: 70089
Rows: 0 1 4 | Cols: 2 3 5 | Det: -230471
Rows: 0 1 4 | Cols: 2 3 6 | Det: -101276
Rows: 0 1 4 | Cols: 2 3 7 | Det: -123209
Rows: 0 1 4 | Cols: 2 3 8 | Det: -16689
Rows: 0 1 4 | Cols: 2 4 5 | Det: -159236
Rows: 0 1 4 | Cols: 2 4 6 | Det: -11927
Rows: 0 1 4 | Cols: 2 4 7 | Det: -49205
Rows: 0 1 4 | Cols: 2 4 8 | Det: 30306
Rows: 0 1 4 | Cols: 2 5 6 | Det: -190871
Rows: 0 1 4 | Cols: 2 5 7 | Det: -118121
Rows: 0 1 4 | Cols: 2 5 8 | Det: -137570
Rows: 0 1 4 | Cols: 2 6 7 | Det: 50133
Rows: 0 1 4 | Cols: 2 6 8 | Det: -46631
Rows: 0 1 4 | Cols: 2 7 8 | Det: -64991
Rows: 0 1 4 | Cols: 3 4 5 | Det: -33033
Rows: 0 1 4 | Cols: 3 4 6 | Det: 111234
Rows: 0 1 4 | Cols: 3 4 7 | Det: 55035
Rows: 0 1 4 | Cols: 3 4 8 | Det: 144228
Rows: 0 1 4 | Cols: 3 5 6 | Det: -413498
Rows: 0 1 4 | Cols: 3 5 7 | Det: -239038
Rows: 0 1 4 | Cols: 3 5 8 | Det: -482125
Rows: 0 1 4 | Cols: 3 6 7 | Det: 116014
Rows: 0 1 4 | Cols: 3 6 8 | Det: -181918
Rows: 0 1 4 | Cols: 3 7 8 | Det: -240433
Rows: 0 1 4 | Cols: 4 5 6 | Det: -258335
Rows: 0 1 4 | Cols: 4 5 7 | Det: -148225
Rows: 0 1 4 | Cols: 4 5 8 | Det: -313390
Rows: 0 1 4 | Cols: 4 6 7 | Det: 68725
Rows: 0 1 4 | Cols: 4 6 8 | Det: -72640
Rows: 0 1 4 | Cols: 4 7 8 | Det: -125050
Rows: 0 1 4 | Cols: 5 6 7 | Det: 13960
Rows: 0 1 4 | Cols: 5 6 8 | Det: -152465
Rows: 0 1 4 | Cols: 5 7 8 | Det: -104415
Rows: 0 1 4 | Cols: 6 7 8 | Det: 36635
Rows: 0 1 5 | Cols: 0 1 2 | Det: -76356
Rows: 0 1 5 | Cols: 0 1 3 | Det: -256442
Rows: 0 1 5 | Cols: 0 1 4 | Det: 386068
Rows: 0 1 5 | Cols: 0 1 5 | Det: -416748
Rows: 0 1 5 | Cols: 0 1 6 | Det: 71768
Rows: 0 1 5 | Cols: 0 1 7 | Det: -291538
Rows: 0 1 5 | Cols: 0 1 8 | Det: -42010
Rows: 0 1 5 | Cols: 0 2 3 | Det: 81636
Rows: 0 1 5 | Cols: 0 2 4 | Det: -10866
Rows: 0 1 5 | Cols: 0 2 5 | Det: 84978
Rows: 0 1 5 | Cols: 0 2 6 | Det: -47742
Rows: 0 1 5 | Cols: 0 2 7 | Det: 15366
Rows: 0 1 5 | Cols: 0 2 8 | Det: -42072
Rows: 0 1 5 | Cols: 0 3 4 | Det: 376271
Rows: 0 1 5 | Cols: 0 3 5 | Det: -160167
Rows: 0 1 5 | Cols: 0 3 6 | Det: -83611
Rows: 0 1 5 | Cols: 0 3 7 | Det: -260091
Rows: 0 1 5 | Cols: 0 3 8 | Det: -186214
Rows: 0 1 5 | Cols: 0 4 5 | Det: -370356
Rows: 0 1 5 | Cols: 0 4 6 | Det: 231178
Rows: 0 1 5 | Cols: 0 4 7 | Det: -36205
Rows: 0 1 5 | Cols: 0 4 8 | Det: 218701
Rows: 0 1 5 | Cols: 0 5 6 | Det: -180702
Rows: 0 1 5 | Cols: 0 5 7 | Det: -240591
Rows: 0 1 5 | Cols: 0 5 8 | Det: -276381
Rows: 0 1 5 | Cols: 0 6 7 | Det: 167843
Rows: 0 1 5 | Cols: 0 6 8 | Det: 65811
Rows: 0 1 5 | Cols: 0 7 8 | Det: -169091
Rows: 0 1 5 | Cols: 1 2 3 | Det: 125056
Rows: 0 1 5 | Cols: 1 2 4 | Det: -246716
Rows: 0 1 5 | Cols: 1 2 5 | Det: 203748
Rows: 0 1 5 | Cols: 1 2 6 | Det: -128416
Rows: 0 1 5 | Cols: 1 2 7 | Det: 121916
Rows: 0 1 5 | Cols: 1 2 8 | Det: -56596
Rows: 0 1 5 | Cols: 1 3 4 | Det: -196294
Rows: 0 1 5 | Cols: 1 3 5 | Det: 1738
Rows: 0 1 5 | Cols: 1 3 6 | Det: -313744
Rows: 0 1 5 | Cols: 1 3 7 | Det: -68026
Rows: 0 1 5 | Cols: 1 3 8 | Det: -258882
Rows: 0 1 5 | Cols: 1 4 5 | Det: 316384
Rows: 0 1 5 | Cols: 1 4 6 | Det: 417400
Rows: 0 1 5 | Cols: 1 4 7 | Det: 325570
Rows: 0 1 5 | Cols: 1 4 8 | Det: 421898
Rows: 0 1 5 | Cols: 1 5 6 | Det: -509384
Rows: 0 1 5 | Cols: 1 5 7 | Det: -112526
Rows: 0 1 5 | Cols: 1 5 8 | Det: -420998
Rows: 0 1 5 | Cols: 1 6 7 | Det: 375720
Rows: 0 1 5 | Cols: 1 6 8 | Det: 123848
Rows: 0 1 5 | Cols: 1 7 8 | Det: -283168
Rows: 0 1 5 | Cols: 2 3 4 | Det: 245980
Rows: 0 1 5 | Cols: 2 3 5 | Det: -78660
Rows: 0 1 5 | Cols: 2 3 6 | Det: 59104
Rows: 0 1 5 | Cols: 2 3 7 | Det: -105180
Rows: 0 1 5 | Cols: 2 3 8 | Det: -8396
Rows: 0 1 5 | Cols: 2 4 5 | Det: -245580
Rows: 0 1 5 | Cols: 2 4 6 | Det: 135986
Rows: 0 1 5 | Cols: 2 4 7 | Det: -32300
Rows: 0 1 5 | Cols: 2 4 8 | Det: 127886
Rows: 0 1 5 | Cols: 2 5 6 | Det: 15522
Rows: 0 1 5 | Cols: 2 5 7 | Det: -94680
Rows: 0 1 5 | Cols: 2 5 8 | Det: -49278
Rows: 0 1 5 | Cols: 2 6 7 | Det: 50386
Rows: 0 1 5 | Cols: 2 6 8 | Det: 35370
Rows: 0 1 5 | Cols: 2 7 8 | Det: -55786
Rows: 0 1 5 | Cols: 3 4 5 | Det: 120050
Rows: 0 1 5 | Cols: 3 4 6 | Det: 524349
Rows: 0 1 5 | Cols: 3 4 7 | Det: 298900
Rows: 0 1 5 | Cols: 3 4 8 | Det: 522389
Rows: 0 1 5 | Cols: 3 5 6 | Det: -196523
Rows: 0 1 5 | Cols: 3 5 7 | Det: -44250
Rows: 0 1 5 | Cols: 3 5 8 | Det: -162953
Rows: 0 1 5 | Cols: 3 6 7 | Det: 296029
Rows: 0 1 5 | Cols: 3 6 8 | Det: 143417
Rows: 0 1 5 | Cols: 3 7 8 | Det: -213169
Rows: 0 1 5 | Cols: 4 5 6 | Det: -589864
Rows: 0 1 5 | Cols: 4 5 7 | Det: -282650
Rows: 0 1 5 | Cols: 4 5 8 | Det: -583954
Rows: 0 1 5 | Cols: 4 6 7 | Det: 234095
Rows: 0 1 5 | Cols: 4 6 8 | Det: 16183
Rows: 0 1 5 | Cols: 4 7 8 | Det: -223995
Rows: 0 1 5 | Cols: 5 6 7 | Det: 245279
Rows: 0 1 5 | Cols: 5 6 8 | Det: 155271
Rows: 0 1 5 | Cols: 5 7 8 | Det: -168419
Rows: 0 1 5 | Cols: 6 7 8 | Det: -54892
Rows: 0 1 6 | Cols: 0 1 2 | Det: 269676
Rows: 0 1 6 | Cols: 0 1 3 | Det: 393448
Rows: 0 1 6 | Cols: 0 1 4 | Det: 534514
Rows: 0 1 6 | Cols: 0 1 5 | Det: -130494
Rows: 0 1 6 | Cols: 0 1 6 | Det: 387776
Rows: 0 1 6 | Cols: 0 1 7 | Det: 373850
Rows: 0 1 6 | Cols: 0 1 8 | Det: 260498
Rows: 0 1 6 | Cols: 0 2 3 | Det: -238458
Rows: 0 1 6 | Cols: 0 2 4 | Det: -146388
Rows: 0 1 6 | Cols: 0 2 5 | Det: -144144
