Processing 2x2 minors...
Matrix size: 9x9
Total minors: 1296
Rows: 0 4 | Cols: 1 3 | Det: -127
Rows: 0 4 | Cols: 1 4 | Det: 704
Rows: 0 4 | Cols: 1 5 | Det: -2332
Rows: 0 4 | Cols: 1 6 | Det: -1953
Rows: 0 4 | Cols: 1 7 | Det: -1779
Rows: 0 4 | Cols: 1 8 | Det: -1298
Rows: 0 4 | Cols: 2 3 | Det: 1201
Rows: 0 4 | Cols: 2 4 | Det: 1792
Rows: 0 4 | Cols: 2 5 | Det: -3164
Rows: 0 4 | Cols: 2 6 | Det: -2385
Rows: 0 4 | Cols: 2 7 | Det: -2307
Rows: 0 4 | Cols: 2 8 | Det: -946
Rows: 0 4 | Cols: 3 4 | Det: 1863
Rows: 0 4 | Cols: 3 5 | Det: -5560
Rows: 0 4 | Cols: 3 6 | Det: -4598
Rows: 0 4 | Cols: 3 7 | Det: -4218
Rows: 0 4 | Cols: 3 8 | Det: -2915
Rows: 0 4 | Cols: 4 5 | Det: -3388
Rows: 0 4 | Cols: 4 6 | Det: -3161
Rows: 0 4 | Cols: 4 7 | Det: -2715
Rows: 0 4 | Cols: 4 8 | Det: -2882
Rows: 0 4 | Cols: 5 6 | Det: 1072
Rows: 0 4 | Cols: 5 7 | Det: 432
Rows: 0 4 | Cols: 5 8 | Det: 3300
Rows: 0 4 | Cols: 6 7 | Det: -456
Rows: 0 4 | Cols: 6 8 | Det: 2167
Rows: 0 4 | Cols: 7 8 | Det: 2277
Rows: 0 5 | Cols: 0 1 | Det: 5786
Rows: 0 5 | Cols: 0 2 | Det: -1752
Rows: 0 5 | Cols: 0 3 | Det: 302
Rows: 0 5 | Cols: 0 4 | Det: 8035
Rows: 0 5 | Cols: 0 5 | Det: -3123
Rows: 0 5 | Cols: 0 6 | Det: -1971
Rows: 0 5 | Cols: 0 7 | Det: -5525
Rows: 0 5 | Cols: 0 8 | Det: -4152
Rows: 0 5 | Cols: 1 2 | Det: -4012
Rows: 0 5 | Cols: 1 3 | Det: -3998
Rows: 0 5 | Cols: 1 4 | Det: 1590
Rows: 0 5 | Cols: 1 5 | Det: -6458
Rows: 0 5 | Cols: 1 6 | Det: -5960
Rows: 0 5 | Cols: 1 7 | Det: -6080
Rows: 0 5 | Cols: 1 8 | Det: -6496
Rows: 0 5 | Cols: 2 3 | Det: 1420
Rows: 0 5 | Cols: 2 4 | Det: 5090
Rows: 0 5 | Cols: 2 5 | Det: -210
Rows: 0 5 | Cols: 2 6 | Det: 438
Rows: 0 5 | Cols: 2 7 | Det: -1990
Rows: 0 5 | Cols: 2 8 | Det: -912
Rows: 0 5 | Cols: 3 4 | Det: 5635
Rows: 0 5 | Cols: 3 5 | Det: -2495
Rows: 0 5 | Cols: 3 6 | Det: -1673
Rows: 0 5 | Cols: 3 7 | Det: -4135
Rows: 0 5 | Cols: 3 8 | Det: -3208
Rows: 0 5 | Cols: 4 5 | Det: -8110
Rows: 0 5 | Cols: 4 6 | Det: -7735
Rows: 0 5 | Cols: 4 7 | Det: -6925
Rows: 0 5 | Cols: 4 8 | Det: -7880
Rows: 0 5 | Cols: 5 6 | Det: 1017
Rows: 0 5 | Cols: 5 7 | Det: -2885
Rows: 0 5 | Cols: 5 8 | Det: -1128
Rows: 0 5 | Cols: 6 7 | Det: -3620
Rows: 0 5 | Cols: 6 8 | Det: -2064
Rows: 0 5 | Cols: 7 8 | Det: 1840
Rows: 0 6 | Cols: 0 1 | Det: -262
Rows: 0 6 | Cols: 0 2 | Det: 4224
Rows: 0 6 | Cols: 0 3 | Det: 5931
Rows: 0 6 | Cols: 0 4 | Det: 8230
Rows: 0 6 | Cols: 0 5 | Det: -2184
Rows: 0 6 | Cols: 0 6 | Det: 6177
Rows: 0 6 | Cols: 0 7 | Det: 5865
Rows: 0 6 | Cols: 0 8 | Det: 4214
Rows: 0 6 | Cols: 1 2 | Det: 1316
Rows: 0 6 | Cols: 1 3 | Det: 1808
Rows: 0 6 | Cols: 1 4 | Det: 2280
Rows: 0 6 | Cols: 1 5 | Det: -344
Rows: 0 6 | Cols: 1 6 | Det: 1936
Rows: 0 6 | Cols: 1 7 | Det: 1812
Rows: 0 6 | Cols: 1 8 | Det: 1396
Rows: 0 6 | Cols: 2 3 | Det: 642
Rows: 0 6 | Cols: 2 4 | Det: 4580
Rows: 0 6 | Cols: 2 5 | Det: -5424
Rows: 0 6 | Cols: 2 6 | Det: -186
Rows: 0 6 | Cols: 2 7 | Det: 246
Rows: 0 6 | Cols: 2 8 | Det: -1340
Rows: 0 6 | Cols: 3 4 | Det: 5180
Rows: 0 6 | Cols: 3 5 | Det: -7284
Rows: 0 6 | Cols: 3 6 | Det: -1200
Rows: 0 6 | Cols: 3 7 | Det: -546
Rows: 0 6 | Cols: 3 8 | Det: -2522
Rows: 0 6 | Cols: 4 5 | Det: -8200
Rows: 0 6 | Cols: 4 6 | Det: -7060
Rows: 0 6 | Cols: 4 7 | Det: -5880
Rows: 0 6 | Cols: 4 8 | Det: -7180
Rows: 0 6 | Cols: 5 6 | Det: 8028
Rows: 0 6 | Cols: 5 7 | Det: 7404
Rows: 0 6 | Cols: 5 8 | Det: 6104
Rows: 0 6 | Cols: 6 7 | Det: 618
Rows: 0 6 | Cols: 6 8 | Det: -1774
Rows: 0 6 | Cols: 7 8 | Det: -2106
Rows: 0 7 | Cols: 0 1 | Det: -1300
Rows: 0 7 | Cols: 0 2 | Det: -2900
Rows: 0 7 | Cols: 0 3 | Det: -1260
Rows: 0 7 | Cols: 0 4 | Det: 3775
Rows: 0 7 | Cols: 0 5 | Det: -1180
Rows: 0 7 | Cols: 0 6 | Det: -2265
Rows: 0 7 | Cols: 0 7 | Det: -3180
Rows: 0 7 | Cols: 0 8 | Det: 1015
Rows: 0 7 | Cols: 1 2 | Det: 0
Rows: 0 7 | Cols: 1 3 | Det: 572
Rows: 0 7 | Cols: 1 4 | Det: 1170
Rows: 0 7 | Cols: 1 5 | Det: 936
Rows: 0 7 | Cols: 1 6 | Det: 598
Rows: 0 7 | Cols: 1 7 | Det: 156
Rows: 0 7 | Cols: 1 8 | Det: 1482
Rows: 0 7 | Cols: 2 3 | Det: 1276
Rows: 0 7 | Cols: 2 4 | Det: 2610
Rows: 0 7 | Cols: 2 5 | Det: 2088
Rows: 0 7 | Cols: 2 6 | Det: 1334
Rows: 0 7 | Cols: 2 7 | Det: 348
Rows: 0 7 | Cols: 2 8 | Det: 3306
Rows: 0 7 | Cols: 3 4 | Det: 2795
Rows: 0 7 | Cols: 3 5 | Det: 388
Rows: 0 7 | Cols: 3 6 | Det: -417
Rows: 0 7 | Cols: 3 7 | Det: -1248
Rows: 0 7 | Cols: 3 8 | Det: 1883
Rows: 0 7 | Cols: 4 5 | Det: -3780
Rows: 0 7 | Cols: 4 6 | Det: -3775
Rows: 0 7 | Cols: 4 7 | Det: -3315
Rows: 0 7 | Cols: 4 8 | Det: -3390
